,all-heroes,anran,ashe,bastion,cassidy,dva,doomfist,emre,genji,hanzo,junker-queen,mauga,moira,pharah,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,tracer,venture,widowmaker,winston,wrecking-ball,zarya
Tank,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Critical Hit Kill,,,,,,,,,,,,,,,1,,,,,1,,,,,,,
Charge Kills,,,,,,,,,,,,,,,,44,,,,,,,,,,,
Charge Kills - Most in Game,,,,,,,,,,,,,,,,11,,,,,,,,,,,
Fire Strike Kills,,,,,,,,,,,,,,,,80,,,,,,,,,,,
Fire Strike Kills - Most in Game,,,,,,,,,,,,,,,,17,,,,,,,,,,,
Earthshatter Kills,,,,,,,,,,,,,,,,37,,,,,,,,,,,
Earthshatter Kills - Most in Game,,,,,,,,,,,,,,,,9,,,,,,,,,,,
Earthshatter Stuns,,,,,,,,,,,,,,,,57,,,,,,,,,,,
Earthshatter Direct Hits,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Fire Strike Accuracy,,,,,,,,,,,,,,,,47,,,,,,,,,,,
Charge Kills - Avg per 10 Min,,,,,,,,,,,,,,,,6.21,,,,,,,,,,,
Fire Strike Kills - Avg per 10 Min,,,,,,,,,,,,,,,,11.3,,,,,,,,,,,
Earthshatter Kills - Avg per 10 Min,,,,,,,,,,,,,,,,5.22,,,,,,,,,,,
Earthshatter Direct Hits - Avg per 10 Min,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,
Earthshatter Stuns - Avg per 10 Min,,,,,,,,,,,,,,,,8.05,,,,,,,,,,,
Whole Hog Kills - Most in Game,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Whole Hog Kills,,,,,,,,,,,,,,,,,7,,,,,,,,,,
Chain Hook Accuracy - Best in Game,,,,,,,,,,,,,,,,,70,,,,,,,,,,
Chain Hook Kills,,,,,,,,,,,,,,,,,31,,,,,,,,,,
Chain Hook Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,9.12,,,,,,,,,,
Chain Hook Accuracy,,,,,,,,,,,,,,,,,54,,,,,,,,,,
Whole Hog Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,
Defensive Assist,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Defensive Assist - Most in Game,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Accretion Kills - Most in Game,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Accretion Kills,,,,,,,,,,,,,,,,,,12,,,,,,,,,
Gravitic Flux Kills,,,,,,,,,,,,,,,,,,7,,,,,,,,,
Gravitic Flux Kills - Most in Game,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Accretion Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,
Gravitic Flux Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,4.55,,,,,,,,,
Accretion Accuracy,,,,,,,,,,,,,,,,,,59,,,,,,,,,
Charged Shot Kills - Most in Game,,,,,,,,,,,,,,,,,,,14,,,,,,,,
Charged Shot Kills,,,,,,,,,,,,,,,,,,,14,,,,,,,,
Charged Shot Accuracy - Best in Game,,,,,,,,,,,,,,,,,,,63,,,,,,,,
Overclock Kills - Most in Game,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Overclock Kills,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Disruptor Shot Kill,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Disruptor Shot Kill - Most in Game,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Long Range Final Blow,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Charged Shot Critical Accuracy,,,,,,,,,,,,,,,,,,,18,,,,,,,,
Overclock Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,2.93,,,,,,,,
Charged Shot Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,13.66,,,,,,,,
Charged Shot Accuracy,,,,,,,,,,,,,,,,,,,63,,,,,,,,
Disruptor Shot Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,
Helix Rocket Kills - Most in Game,,,,,,,,,,,,,,,,,,,,9,,,,,,,
Helix Rocket Kills,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Tactical Visor Kills,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Tactical Visor Kills - Most in Game,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Tactical Visor Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,2.74,,,,,,,
Helix Rocket Accuracy,,,,,,,,,,,,,,,,,,,,65,,,,,,,
Helix Rocket Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,13.72,,,,,,,
Enemies Hacked,,,,,,,,,,,,,,,,,,,,,27,,,,,,
Enemies Hacked - Most in Game,,,,,,,,,,,,,,,,,,,,,17,,,,,,
EMP Kills,,,,,,,,,,,,,,,,,,,,,7,,,,,,
EMP Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,5,,,,,,
Low Health Teleports,,,,,,,,,,,,,,,,,,,,,5,,,,,,
Low Health Teleports - Most in Game,,,,,,,,,,,,,,,,,,,,,3,,,,,,
Virus Kills,,,,,,,,,,,,,,,,,,,,,16,,,,,,
Virus Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,9,,,,,,
Virus Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,7.86,,,,,,
Low Health Teleports - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,2.46,,,,,,
Virus Accuracy,,,,,,,,,,,,,,,,,,,,,62,,,,,,
EMP Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,3.44,,,,,,
Enemies Hacked - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,13.26,,,,,,
Pulse Bomb Kills,,,,,,,,,,,,,,,,,,,,,,17,,,,,
Pulse Bomb Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Pulse Bombs Attached - Most in Game,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Pulse Bombs Attached,,,,,,,,,,,,,,,,,,,,,,18,,,,,
Low Health Recalls,,,,,,,,,,,,,,,,,,,,,,57,,,,,
Low Health Recalls - Most in Game,,,,,,,,,,,,,,,,,,,,,,57,,,,,
Low Health Recalls - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,6.42,,,,,
Pulse Bomb Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,1.92,,,,,
Pulse Bomb Attach Rate,,,,,,,,,,,,,,,,,,,,,,39,,,,,
Pulse Bombs Attached - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,
Smart Excavator Direct Hits - Most in Game,,,,,,,,,,,,,,,,,,,,,,,125,,,,
Drill Dash Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,8,,,,
Drill Dash Kills,,,,,,,,,,,,,,,,,,,,,,,9,,,,
Burrow Kills,,,,,,,,,,,,,,,,,,,,,,,8,,,,
Burrow Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,7,,,,
Tectonic Shock Kills,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Tectonic Shock Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Shields Created,,,,,,,,,,,,,,,,,,,,,,,4845,,,,
Shields Created - Most in Game,,,,,,,,,,,,,,,,,,,,,,,4367,,,,
Shields Created - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,2728,,,,
Drill Dash Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,5.07,,,,
Assist - Most in Game,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Assist,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Venom Mine Kills,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Venom Mine Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Venom Mine Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,
Jump Pack Kills,,,,,,,,,,,,,,,,,,,,,,,,,9,,
Jump Pack Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,9,,
Melee Kills,,,,,,,,,,,,,,,,,,,,,,,,,8,,
Jump Kills,,,,,,,,,,,,,,,,,,,,,,,,,9,,
Weapon Kills,,,,,,,,,,,,,,,,,,,,,,,,,15,,
Primal Rage Damage,,,,,,,,,,,,,,,,,,,,,,,,,998,,
Jump Pack Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,
Primary Fire Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,64,,51
Adaptive Shielding Created,,,,,,,,,,,,,,,,,,,,,,,,,,12900,
Piledriver Kills,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Grappling Claw Kills,,,,,,,,,,,,,,,,,,,,,,,,,,12,
Minefield Kills,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Grappling Claw Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Minefield Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Piledriver Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Adaptive Shielding Created - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,12900,
Piledriver Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,
Grappling Claw Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,
Minefield Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,
Adaptive Shielding Created - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,6037,
Environmental Kill - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Environmental Kill,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Graviton Surge Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,54
Graviton Surge Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,8
High Energy Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,33
High Energy Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,250
Average Energy - Best in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Average Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,53
Graviton Surge Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88
High Energy Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,31.86
