,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,freja,genji,hanzo,illari,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4
Assists - Avg per 10 min,6.63,12.44,,,5.87,1.62,20.97,0.58,9.24,2.33,0.55,,,3.21,6.14,4.75,2.65,7.75,14.89,17.56,8.42,10.94,14.94,17.54,7.53,8.08,2.55,4.23,,1.68,3.56,4.46,2.11,0.68,4.9,,,,2.02,,2.9,,4.6,13.95
Eliminations - Avg per 10 Min,17.48,11.25,12.61,20.19,12.15,17.61,15.24,21.17,21.76,15.26,26.63,10.62,17.81,17.67,9.63,17.98,19.18,13.32,11.06,11.52,17.11,21.72,21.57,2.93,13.82,16.39,15.65,22.21,20.65,16.93,20.67,21.93,20.58,20.74,17.63,17.57,19.95,21.13,17.04,14.16,22.83,20.92,21.69,15.95
Healing Done - Avg per 10 Min,2113,5833,252,,8479,1081,7116,,4.66,,249,,,,8768,1180,,6557,8988,8615,5771,2066,934,9628,9506,,,124,1245,,5151,,,1785,851,1.85,,,,,,,,6664
Final Blows - Avg per 10 Min,9.45,4.17,6.31,10.77,4.19,10.54,6.86,12.19,9.22,10.19,13.39,7.72,9.98,11.65,3.15,10.52,13.77,4.65,4.26,3.29,6.52,9.9,7.84,1.3,5.9,6.11,7.98,9.94,13.27,10.37,12.73,10.27,9.36,12.51,8.82,8.37,9.24,11.86,9.56,9.08,11.51,11.67,10.36,7.56
Time Spent on Fire - Avg per 10 Min,19,9,15,,0,20,37,30,70,,13,85,,,63,10,7,92,44,104,5,140,69,28,20,16,72,36,12,19,2,6,15,24,36,4,,,105,,12,,3,13
Objective Contest Time - Avg per 10 Min,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.99,0.52,,2.17,0.39,2.53,1.17,1.61,1.79,2.69,2.36,,2.38,3.22,0.5,1.02,4.46,,0.47,0.55,2.12,0.73,0.98,0.2,0.67,0.15,2.15,0.85,3.3,1.44,2.72,1.78,1.52,3.04,1.65,2.01,1.74,3.58,1.74,3.87,2.13,3.35,1.55,1.09
Objective Kills - Avg per 10 Min,5.4,4.27,2.52,5.89,4.6,6.71,5.02,6.94,6.02,4.49,7.3,0.97,4.63,5.65,4.15,5.77,5.13,4.03,4.4,2.74,6.76,5.37,5.88,0.59,4.02,4.47,3.99,6.45,6.27,4.76,6.53,6.85,7.0,6.31,3.67,4.52,8.03,5.63,4.33,2.78,7.55,8.01,7.26,6.2
Objective Time - Avg per 10 Min,57,33,33,39,50,55,111,69,100,50,48,5,52,47,79,73,31,36,58,104,86,58,127,68,46,59,7,78,55,60,66,72,39,39,35,33,60,58,59,18,90,79,58,71
Time Played,394315,5760,476,8857,23362,8315,3584,8218,4688,47210,8381,622,23442,19216,3613,6442,10762,1936,16768,1093,7363,11519,1836,9215,4473,4026,1955,5672,10720,15384,12775,14197,7115,15016,3266,3586,8961,9057,10670,4956,6202,9665,7357,6585
Games Played,835,11,1,19,54,16,7,17,8,103,17,,49,42,7,13,22,4,34,3,15,22,4,21,7,9,3,10,23,31,27,30,14,31,6,8,24,23,19,11,12,22,19,14
Games Won,404,6,,12,23,9,4,11,4,29,12,,19,23,3,5,11,2,14,3,8,13,2,10,,5,0,7,14,16,9,17,8,17,2,7,16,11,9,6,7,14,8,8
Games Lost,431,5,1,7,31,7,3,7,5,74,5,,30,19,4,9,12,2,20,0,7,10,3,11,6,4,3,3,9,15,18,13,6,14,5,,8,12,10,4,5,7,11,7
Hero Wins,113,2,,,,3,3,5,2,1,1,,,1,3,5,2,2,14,3,,13,2,3,,2,0,7,5,4,2,2,8,5,0,0,,0,9,,2,0,,
Objective Time,37172,316,26,579,1963,764,662,950,780,3966,665,6,2013,1515,476,785,562,115,1634,189,1057,1122,389,1037,341,394,21,736,983,1536,1409,1704,457,967,188,195,895,874,1054,152,926,1279,709,784
Eliminations,11487,108,10,298,473,244,91,290,170,1201,372,11,696,566,58,193,344,43,309,21,210,417,66,45,103,110,51,210,369,434,440,519,244,519,96,105,298,319,303,117,236,337,266,175
Environmental Kills,62,,,2,,,,,,17,,,,,,,4,,,,17,,,,,,,,,2,10,3,,,,,,,2,,,2,,
Hero Damage Done,4470591,28531,5498,106702,151116,126128,29610,108459,63195,438649,147301,12678,232750,225069,29375,100071,139773,13222,108018,5901,56119,256956,19120,8567,39166,49172,30022,94624,137700,186649,170842,245228,99884,214624,27086,30232,103407,110671,161025,29371,71466,102776,86414,67424
Final Blows,6209,40,5,159,163,146,41,167,72,802,187,8,390,373,19,113,247,15,119,6,80,190,24,20,44,41,26,94,237,266,271,243,111,313,48,50,138,179,170,75,119,188,127,83
Deaths,4895,68,9,103,225,116,35,116,42,770,125,8,355,265,29,71,173,16,116,6,89,120,16,99,48,50,28,58,144,192,143,136,92,208,38,36,101,117,136,70,71,101,83,71
