,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hazard,hanzo,junker-queen,junkrat,kiriko,lucio,mauga,mei,mercy,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,zarya,zenyatta
Tank,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Blows - Avg per 10 Min,8.86,2.73,10.68,5.23,6.99,,9.05,6.88,10.32,,10.71,,14.41,9.93,9.88,4.58,4.37,6.89,6.67,0.52,5.56,16.73,11.03,12.29,8.22,12.18,9.37,1.91,13.22,9.34,19.0,5.31,9.76,10.07,8.75,5.91,7.22
Time Spent on Fire - Avg per 10 Min,7,,20,,9,,11,7,5,,0,,,19,,51,,,,,11,17,75,,8,11,76,98,8,,,25,8,5,11,3,
Objective Contest Time - Avg per 10 Min,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,3.23,0.81,4.81,,2.79,,3.62,1.62,3.87,,3.62,,8.01,,3.52,,1.95,,1.03,,0.35,4.99,0.79,4.51,2.5,4.64,2.16,,4.86,0.78,1.36,1.06,3.66,5.21,2.79,1.33,2.75
Objective Kills - Avg per 10 Min,4.78,3.99,4.81,,1.4,5.52,3.8,6.88,5.16,,5.08,,4.8,1.24,4.47,3.93,3.77,6.89,5.64,0.52,4.17,7.96,6.3,8.6,3.46,5.89,11.54,,6.67,6.62,24.43,1.77,5.49,2.59,5.4,6.06,2.06
Objective Time - Avg per 10 Min,43,52,19,23,8,30,24,63,41,54,40,299,17,19,30,53,64,10,56,24,16,41,64,50,55,54,81,5,36,40,115,9,43,10,59,63,24
Time Played,296674,18495,1123,344,859,109,48183,2963,6046,56,19726,72,375,483,6981,916,17846,87,2339,1159,1725,4447,762,1465,12485,45221,832,315,10619,1542,442,1695,8848,28229,12884,35255,1745
Games Played,675,42,3,1,2,1,111,7,14,0,46,0,1,1,13,2,40,0,5,3,3,10,1,3,33,101,2,1,21,3,1,4,18,68,28,79,4
Games Won,330,22,1,0,0,,53,3,7,,27,,1,1,6,0,19,0,2,2,2,6,0,1,15,46,1,0,10,1,1,2,9,32,14,40,2
Games Lost,345,20,1,1,2,1,58,5,7,0,19,0,0,1,7,2,20,0,3,1,1,4,1,2,18,55,1,0,12,2,0,2,9,36,14,40,2
Hero Wins,28,2,0,0,0,,5,0,1,,,,0,1,,0,,0,,,1,,0,,2,2,1,0,1,,,,2,2,2,2,
Environmental Kills,73,,,,,,,,2,,,,,,,,44,,,,,3,,,5,9,,,,,,,,,9,,
Melee Final Blows,150,4,,,,,9,,2,,36,,,2,,,16,,3,,,,,,,27,,,,,,,22,6,6,9,3
Multikills,58,,,,,,9,,,,7,,,,2,,2,,,,,4,,2,2,4,,,,,,,,,,20,
Objective Time,21125,1595,35,13,11,5,1910,313,410,5,1316,36,10,15,344,81,1893,1,219,46,45,302,81,122,1149,4046,113,3,638,102,85,25,628,490,1264,3705,69
Eliminations,7680,318,29,8,12,2,1123,77,163,,611,,12,19,161,11,321,,65,5,37,190,31,49,263,1363,32,14,358,45,31,40,254,634,366,995,40
Hero Damage Done,1246845,37832,12174,2338,8019,312,166177,15693,50686,651,184931,801,6265,7403,26190,4370,37907,824,17008,260,10390,53495,13345,15523,44046,119458,12457,4722,42100,10283,7267,8137,79009,76038,39038,119442,12251
Final Blows,4379,84,20,3,10,,727,34,104,,352,,9,8,115,7,130,,26,,16,124,14,30,171,918,13,,234,24,14,15,144,474,188,347,21
Deaths,3924,225,16,5,19,,724,30,100,,273,,3,5,116,10,226,2,34,11,26,62,10,23,195,540,7,3,136,23,,22,128,361,174,383,28
Damage Done,1246845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,2362,123,9,,2,,305,34,52,,167,,3,,52,6,112,,22,,12,59,8,21,72,444,16,,118,17,18,5,81,122,116,356,6
Time Spent on Fire,3546,,37,,12,,883,35,55,,15,,,15,,78,,,,,32,127,95,,167,860,106,51,142,,,70,114,220,240,191,
Objective Contest Time,1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,1595,25,9,,4,,291,8,39,,119,,5,,41,,58,,4,,,37,,11,52,350,3,,86,2,,3,54,245,60,78,8
of Match on Fire,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,
Defensive Assists,531,213,,4,,2,,,,,,,,,,18,108,,,31,,,,,,,,,15,,,,,,,112,27
Offensive Assists,585,227,,,,,,,,,,,,,4,3,99,,17,34,7,,3,,8,58,5,,,21,,,,,,66,32
Healing Done,652386,148579,,3660,1420,617,,801,398,,130,,,865,,11548,80940,174,4558,13515,,,,1785,,30055,,,27921,3056,,,,,,,10176
Assists,183,32,3,4,,,9,2,4,,,,,4,,15,,,,2,3,4,3,,,34,5,3,5,,,,,10,12,26,
