,all-heroes,ana,ashe,baptiste,brigitte,cassidy,dva,doomfist,echo,genji,hazard,hanzo,illari,junker-queen,junkrat,kiriko,lifeweaver,lucio,mauga,mercy,orisa,pharah,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2
Games Played,262,34,7,,2,12,36,11,3,19,,17,,2,0,1,0,5,2,0,2,0,0,7,12,1,4,2,4,5,17,0,14,17,23
Games Won,148,21,3,,0,5,19,7,2,12,,8,,2,0,,,4,2,,,0,,5,8,,2,,,3,11,,6,8,14
Games Lost,114,13,4,0,2,7,16,4,1,7,,9,0,0,0,1,0,2,0,0,2,0,0,2,3,0,2,,3,2,6,0,7,9,8
Hero Wins,37,2,0,,0,0,,5,,7,,0,,2,0,,,,2,,,,,,,,2,,,2,4,,2,0,7
Objective Time,8590,1003,174,,40,221,1844,457,76,584,78,300,104,61,,72,9,198,101,7,19,,,241,600,20,181,6,144,69,67,7,729,614,563
Eliminations,4675,352,170,3,13,259,803,173,53,367,2,324,19,43,4,18,4,88,24,,9,8,,107,317,17,77,81,74,103,275,3,190,320,374
Environmental Kills,31,,,,,,3,2,,,,,,,,,,4,,,,,,,18,,,,,,,,,,2
Hero Damage Done,1891710,88436,85386,398,5036,123277,268642,76943,31687,168610,5647,148587,7064,19617,1182,8697,1340,20901,14770,325,9586,3909,,52247,114727,6747,35319,32232,30678,40760,107472,779,78625,153950,148136
Final Blows,2392,87,97,2,3,152,350,104,36,222,2,214,7,25,2,7,,13,11,,4,5,,55,169,7,47,54,39,54,194,2,91,150,185
Deaths,1273,152,32,,20,84,98,72,15,125,3,88,4,5,2,9,3,35,6,7,10,2,,38,51,3,13,14,23,26,103,3,62,67,98
Damage Done,1891710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,1259,118,50,,5,80,171,38,15,81,,71,8,7,,5,,26,5,,3,5,,27,96,8,19,13,28,22,65,,69,113,110
Time Spent on Fire,6774,488,247,,0,214,,769,189,1222,16,,112,183,,6,,,134,,,,,60,,,408,,175,320,438,,304,333,1157
Melee Final Blows,147,6,,,,2,27,21,4,22,,,,,,,,2,,,,,,,25,,,,,4,2,,13,3,11
Objective Contest Time,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,500,10,14,,,35,74,20,7,46,,53,,,,2,,2,,,,,,7,42,,8,7,6,17,69,,12,18,46
Multikills,43,4,3,,,2,12,2,,2,,,,,,,,,,,,,,6,,,,,,2,,,,6,
of Match on Fire,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,132,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,66,,,,
Defensive Assists,915,408,,18,22,,,,,,,,,,,10,2,52,7,5,,,,,,,,15,,,,,,78,298
Offensive Assists,799,311,,2,4,,,,,,,,6,,2,3,,62,10,4,7,,,24,87,5,,,22,,,,,59,191
Healing Done,522695,275138,,8588,12652,,572,1440,647,120,,,8587,2813,,7604,1565,30735,2379,6608,,,,,44855,,,5194,3896,47,12,,,72,109171
Assists,313,52,8,,7,5,,20,,,,,8,8,2,9,2,,10,,,,,2,,,6,2,7,,16,,8,9,131
Cards,96,8,6,,,7,19,,,2,,9,,,,,,2,,,,,,4,10,,,2,,,5,,3,9,7
Scoped Accuracy - Best in Game,,73,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,
Self Healing,,8308,,275,1949,,,,,,,,947,2813,,,296,7321,2243,615,,,,,44855,,,2640,,3002,,,,,3190
Self Healing - Most in Game,,881,,275,,,,,,,,,947,805,,,296,1899,1122,615,,,,,5806,,,1545,,735,,,,,519
Enemies Slept,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,1940,,650,,,,,,,,,,,,,,,,441,3932,,,,,,,,,,,,,,11412
Damage Amplified - Most in Game,,682,,650,,,,,,,,,,,,,,,,441,3127,,,,,,,,,,,,,,1648
Healing Amplified,,13117,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified - Most in Game,,822,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy,,60,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,
Healing Amplified - Avg per 10 Min,,491,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Healing - Avg per 10 Min,,311,,514,1121,,,,,,,,1095,1836,,,1082,1647,2253,1079,,,,,4193,,,1213,,719,,,,,193
Damage Amplified - Avg per 10 Min,,72.67,,1215,,,,,,,,,,,,,,,,773,3741,,,,,,,,,,,,,,690
