,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Damage,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4
Support,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3
Kill Streak - Best,23,11,16,5,6,,14,23,11,6,18,13,6,7,6,12,5,7,14,5,1,9,7,16,11,12,7,17,,14,14,8,7,15,13,5,19,14,4,15,5
Hero Damage Done - Most in Game,20950,3941,12163,2091,5261,733,10725,10582,5233,4014,11506,7633,8827,5908,3662,4727,1475,3694,20950,3970,338,2572,6448,6195,3566,5756,4905,9447,776,4983,4465,6393,4326,5803,5813,5717,9425,9303,1529,6266,2111
Barrier Damage Done - Most in Game,8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,23,19,2,5,,,2,,2,,,4,6,,15,23,16,4,14,,5,8,,2,3,,2,3,,4,,4,,,,,7,,,2,2
Objective Contest Time - Most in Game,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,10,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
Hero Damage Done - Avg per 10 Min,6139,2653,9966,6430,7633,3215,7373,7269,5257,6873,6341,5639,8139,7222,3878,3614,958,3615,14831,3365,343,3492,5411,8276,7127,8790,5126,6501,3881,10395,6830,4273,5345,7126,6703,8142,6665,7162,2880,9293,4040
Deaths - Avg per 10 Min,6.78,4.98,4.84,5.39,7.87,8.86,7.88,3.67,10.48,7.76,7.48,7.1,6.42,7.97,8.86,3.65,4.92,8.25,5.6,6.47,4.09,4.18,7.27,6.64,4.0,7.58,7.08,6.81,15.06,5.29,6.76,5.88,7.85,6.87,8.53,11.35,7.16,5.4,10.99,4.29,9.16
Eliminations - Avg per 10 Min,17.67,10.3,24.75,19.78,15.39,,18.34,20.12,14.29,15.51,18.3,17.6,18.63,19.01,16.11,14.39,4.61,9.59,27.46,12.95,1.23,13.59,16.3,23.3,25.98,24.89,12.21,17.92,,27.52,22.76,12.78,16.27,23.52,19.22,9.73,19.4,21.6,8.8,29.59,11.24
Assists - Avg per 10 min,7.97,17.44,1.26,16.84,4.75,,1.74,4.41,2.43,,0.28,11.3,6.42,1.0,12.89,16.55,14.76,14.8,10.84,,30.36,23.55,2.42,7.97,6.0,,3.03,5.35,,5.29,,8.93,2.38,,,0.81,3.7,,,4.33,15.53
Healing Done - Avg per 10 Min,1857,9812,,9779,1426,7563,,4.1,85.72,,0.99,,1125,,10236,7542,9045,4465,2618,1278,10723,9593,,,,1360,,4838,,,1835,1397,4.48,,,,,,,,4391
Final Blows - Avg per 10 Min,9.8,2.07,14.53,10.79,8.55,,10.96,9.65,9.29,3.88,10.48,12.0,8.99,12.72,3.62,7.08,0.77,4.24,17.75,4.68,0.82,4.18,3.3,13.27,4.0,14.58,7.08,10.52,,12.7,12.42,6.09,7.29,10.04,8.92,5.67,13.84,8.72,2.93,13.1,4.58
Time Spent on Fire - Avg per 10 Min,12,3,,,,,16,,,,2,,,3,56,,,,199,,,,,4,,,,,,,,19,52,,16,67,28,,,,
Objective Contest Time - Avg per 10 Min,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,3.23,0.56,4.3,,2.05,,3.69,3.26,3.33,1.29,3.66,4.59,0.64,4.05,0.4,0.91,,1.34,2.05,1.44,0.82,1.05,0.22,4.05,2.0,3.31,1.81,2.39,,4.23,4.07,1.62,1.68,3.44,2.75,0.81,6.57,1.66,1.47,2.03,0.83
Objective Kills - Avg per 10 Min,5.54,3.19,6.46,1.8,3.76,,5.81,5.85,5.48,2.59,5.54,4.4,14.77,7.55,6.04,3.88,3.23,4.46,9.9,5.75,,6.27,8.59,8.09,11.99,12.64,3.77,7.29,,7.41,7.55,1.83,8.42,7.14,5.49,1.62,4.03,10.38,3.66,11.75,1.67
Objective Time - Avg per 10 Min,44,31,38,37,10,90,28,61,41,16,43,23,96,46,25,30,112,58,105,46,59,62,125,35,283,79,109,85,25,26,36,23,69,39,33,34,9,117,75,61,32
Time Played,163533,10715,5576,334,1754,271,10733,4413,2520,464,23411,9547,934,4291,1490,5255,3901,2692,3212,1668,1465,1148,2725,3707,300,3086,3981,5021,159,567,6037,2958,1069,2270,6118,740,22637,1444,819,2656,1441
Hero Wins,57,4,5,0,1,,1,0,1,0,2,1,0,1,,7,7,0,4,,0,1,0,0,,1,1,,,1,1,1,,,3,0,11,,,2,0
Games Played,345,23,12,1,4,1,22,9,6,1,45,22,2,8,3,9,8,6,5,4,4,2,6,7,0,7,9,9,0,2,16,7,2,4,11,1,54,3,3,7,3
Games Won,187,11,10,0,3,,9,5,3,0,20,13,0,3,,7,7,2,4,2,2,1,3,4,,4,6,5,,1,10,2,1,3,7,0,30,1,1,5,2
Games Lost,158,12,2,0,2,1,13,4,3,,25,8,2,5,3,2,,4,,2,1,1,3,3,0,3,3,4,0,1,6,5,1,1,4,1,24,1,2,1,1
