,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junker-queen,junkrat,kiriko,lucio,mei,mercy,moira,orisa,pharah,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Damage,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Blows - Avg per 10 Min,8.97,2.71,11.19,3.1,2.85,3.15,12.95,11.32,12.57,2.94,10.58,10.53,,5.67,5.67,4.52,8.69,0.83,6.39,3.87,14.12,17.43,8.22,12.09,6.12,4.84,11.68,11.79,5.45,13.46,6.26,9.06,11.54,8.53,6.53,6.52,7.37
Time Spent on Fire - Avg per 10 Min,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,
Objective Contest Time - Avg per 10 Min,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.87,0.28,2.82,0.1,,0.31,2.33,2.0,2.29,0.98,2.14,2.43,,1.89,,0.76,1.53,0.28,0.98,0.24,2.65,1.74,0.8,2.23,0.85,,1.95,2.3,0.4,0.79,2.09,1.94,4.68,0.9,0.93,0.56,1.11
Objective Kills - Avg per 10 Min,6.66,5.5,8.15,6.99,7.14,3.46,7.83,8.01,6.5,0.98,6.45,5.96,,9.44,11.33,7.07,4.09,0.55,10.23,8.95,8.45,10.46,5.67,8.08,7.63,,8.96,7.35,5.25,3.96,,6.86,3.93,6.93,7.78,9.22,7.56
Objective Time - Avg per 10 Min,62,68,56,112,30,20,54,102,54,14,52,32,,98,150,114,28,28,77,51,32,46,64,75,90,,84,38,50,53,8,61,20,83,96,115,54
Time Played,601210,59368,21713,6184,841,1907,26506,16484,49828,613,99376,17319,57,318,424,40330,1173,2170,6102,2479,4759,1033,8252,13743,6373,248,1541,10689,2970,758,288,82415,51129,5978,3858,24859,29127
Games Played,1299,121,49,13,2,5,55,36,106,1,222,41,0,1,1,87,2,4,11,8,10,2,18,26,14,1,3,23,6,2,1,171,120,13,7,53,63
Games Won,677,64,26,8,1,3,35,24,60,,105,19,0,0,1,51,2,3,3,6,5,1,8,13,5,,2,12,3,,,78,61,6,2,34,36
Games Lost,622,57,23,5,1,2,20,12,46,1,117,22,0,1,0,37,0,1,8,2,5,1,10,13,8,1,,11,3,1,1,93,60,7,5,20,27
